,company_name,patent_abstract,patent_assignee,patent_class,patent_number,patent_title,year_applied,year_granted
50,Medtronic,"A method for achieving tight glycemic control in a patient in need thereof is disclosed. The method comprises deploying an equilibrium glucose sensor within a blood vessel in the patient, coupling the sensor to a monitor that displays the blood glucose concentration, and administering a blood glucose regulator when the blood glucose concentration varies outside of the predetermined concentration range. The blood glucose regulator is administered in an amount sufficient to return the blood glucose concentration to within the predetermined concentration range, thereby achieving tight glycemic control.</p> <endline> ","Glumetrics, Inc.",None,08088097,Use of an equilibrium intravascular sensor to achieve tight glycemic control,2008,2012
51,Medtronic,"Sinusitis, mucocysts, tumors, infections, hearing disorders, choanal atresia, fractures and other disorders of the paranasal sinuses, Eustachian tubes, Lachrymal ducts and other ear, nose, throat and mouth structures are diagnosed and/or treated using minimally invasive approaches and, in many cases, flexible catheters as opposed to instruments having rigid shafts. Various diagnostic procedures and devices are used to perform imaging studies, mucus flow studies, air/gas flow studies, anatomic dimension studies and endoscopic studies. Access and occluding devices may be used to facilitate insertion of working devices such as endoscopes, wires, probes, needles, catheters, balloon catheters, dilation catheters, dilators, balloons, tissue cutting or remodeling devices, suction or irrigation devices, imaging devices, sizing devices, biopsy devices, image-guided devices containing sensors or transmitters, electrosurgical devices, energy emitting devices, devices for injecting diagnostic or therapeutic agents, devices for implanting devices such as stents, substance eluting or delivering devices and implants, etc.</p> <endline> ","Acclarent, Inc.",None,08088101,"Devices, systems and methods for treating disorders of the ear, nose and throat",2007,2012
52,Medtronic,"Biocompatible coatings for medical devices are disclosed. Specifically, polymer coatings designed to control the release of bioactive agents from medical devices in vivo are disclosed wherein the solubility parameters of polymers and drugs are closely matched to control elute rate profiles. The present application also discloses providing vascular stents with controlled release coatings and related methods for making these coatings.</p> <endline> ","Medtronic Vasular, Inc.",None,08088404,Biocompatible controlled release coatings for medical devices and related methods,2004,2012
53,Medtronic,A method and apparatus is provided for processing a medical device formed from a bioabsorbable metallic material. The method begins by generating a beam of radiation onto the bioabsorbable metallic material. The radiation beam is transmitted through a fluid medium and onto a heat affected zone (HAZ) of the bioabsorbable metallic material to thereby cool the HAZ and reduce a concentration of oxygen surrounding the HAZ.</p> <endline> ,"Boston Scientific SciMed, Inc.",None,08089029,Bioabsorbable metal medical device and method of manufacture,2006,2012
54,Medtronic,"The disclosure describes techniques for converting an input voltage level to two or more output voltage levels using only two pump capacitors and three switching phases. The disclosure also describes techniques for selectively controlling a dc-dc converter to operate in different conversion modes. One mode may use only two pump capacitors and three switching phases to produce output voltage levels with a first set of conversion ratios. Another mode may use two pump capacitors and two switching phases to produce output voltage levels with a second set of conversion ratios. The first mode may use three different subcircuit arrangements of the pump capacitors. The second mode may use two different subcircuit arrangements of the pump capacitors. A converter may include switches and pump capacitors that can be selectively configured to transition between two or three different subcircuits, thereby producing output voltages according to different conversion ratios on a selective basis.</p> <endline> ","Medtronic, Inc.",None,08089787,Switched capacitor DC-DC voltage converter,2008,2012
55,Medtronic,"Methods and apparatus for delivery of substances or apparatus to target sites within the body of a human or animal patient. A vessel wall penetrating catheter is inserted into the vasculature, positioned and oriented within a blood vessel near the target extravascular site and a penetrator is advanced from the catheter in the direction of the target site. Thereafter, a delivery catheter is passed through a lumen of the penetrator to the target site. A desired substance or apparatus is then delivered to or obtained from the target site.</p> <endline> ","Medtronic Vascular, Inc.",None,08090430,Methods and apparatus for acute or chronic delivery or substances or apparatus to extravascular treatment sites,2009,2012
56,Medtronic,"A medical device for sensing cardiac events that includes a plurality of electrodes sensing cardiac signals utilized to identify a cardiac event, a plurality of light sources capable of emitting light at a plurality of wavelengths, and a detector to detect the emitted light. A processor determines a plurality of light measurements in response to the emitted light detected by the detector, an isobestic blood volume index in response to determined light measurements of the plurality of light measurements from a first light source of the plurality of light sources emitting light at an isobestic wavelength, determines an oxygen index associated with light measurements of the plurality of light measurements from a light source of the plurality of light sources other than the first light source, and verifies the identifying of the cardiac event in response to the determined isobestic blood volume index and the determined oxygen index.</p> <endline> ","Medtronic, Inc.",None,08090432,Implantable tissue perfusion sensing system and method,2008,2012
57,Medtronic,"Methods and apparatus for treating disorders of the ear, nose, throat or paranasal sinuses, including methods and apparatus for dilating ostia, passageways and other anatomical structures, endoscopic methods and apparatus for endoscopic visualization of structures within the ear, nose, throat or paranasal sinuses, navigation devices for use in conjunction with image guidance or navigation system and hand held devices having pistol type grips and other handpieces.</p> <endline> ","Acclarent, Inc.",None,08090433,Methods and apparatus for treating disorders of the ear nose and throat,2007,2012
58,Medtronic,"A medical electrical lead system that includes a catheter extending from a proximal catheter end to a distal catheter end; a lead, insertable within the catheter, including a lead body extending from a proximal lead end to a distal lead end and an active fixation member positioned at the distal lead end; and an advancement tool for advancing the distal lead end outward from the distal catheter end. The advancement tool is adapted to be positioned around the lead body and further adapted to be removably fixedly engaged with the proximal catheter end.</p> <endline> ",Medtronic Inc.,None,08090451,Transvenous active fixation lead system,2006,2012
59,Medtronic,"Systems and methods are provided that estimate when to replace a medical device that is implanted in a patient due to battery depletion. These systems and methods significantly reduce the need for service calls made to medical device manufacturers that relate to battery longevity. In some examples, these systems and methods estimate a battery end of life based, at least in part, on an actual battery voltage received on an actual transmission date and a model transmission date determined based on the actual battery voltage. The estimated battery end of life is further based on a comparison of the model transmission date with the actual transmission date.</p> <endline> ","Medtronic, Inc.",None,08090566,Battery longevity monitoring,2008,2012
60,Medtronic,"A method for accessing a spinal disc of a lumbar spine of a patient using a surgical access system including a tissue distraction assembly and a tissue retraction assembly. The method can include maintaining an operative corridor along a lateral, trans-psoas path using the retraction assembly.</p> <endline> ","NuVasive, Inc.",None,08343046,Surgical access system and related methods,2012,2013
61,Medtronic,"A system and method for providing diagnosis and monitoring of congestive heart failure for use in automated patient care is described. At least one recorded physiological measure is compared to at least one other recorded physiological measure on a substantially regular basis to quantify a change in patient pathophysiological status for equivalent patient information. An absence, an onset, a progression, a regression, and a status quo of congestive heart failure is evaluated dependent upon the change in patient pathophysiological status.</p> <endline> ","Cardiac Pacemakers, Inc.",None,08343064,System and method for diagnosing and monitoring congestive heart failure,2011,2013
62,Medtronic,"System for the subcutaneous delivery into the body of a patient of a fluid from a remote vessel. The system includes a main assembly and placement member with a needle. A delivery tube for carrying the fluid is attached at a near end to the remote reservoir or vessel. At removed end, the delivery tube has a needle for engagement with the main assembly. The main assembly includes a rotating member that when the rotating is perpendicular to the main assembly, it will accept the handle and needle for emplacement of the body onto a patient. After the handle and needle are removed, the delivery tube can be attached to the rotating member which can then be rotated down to a position along to and adjacent the skin of the patient. This provides for a flush mounted infusion device.</p> <endline> ","Applied Diabetes Research, Inc.",None,08343115,Low profile pivoting joint infusion assembly,2009,2013
63,Medtronic,"A subdural evacuation port aspiration device including a subdural evacuation portion and a port aspiration portion. The subdural evacuation portion includes a rigid tubular portion having a central axis, a threaded exterior surface, and a pair of wings extending outwardly in substantially opposite directions from the tubular portion. The port aspiration portion includes a first segment and a second segment extending in separate directions from the subdural evacuation portion, the first segment configured to receive an aspiration device and the second segment configured to connect to a negative pressure source. The subdural evacuation portion and the port aspiration portion are uniformly formed as a single rigid unit.</p> <endline> ","Medtronic XOMED, Inc.",None,08343138,Subdural evacuation port aspiration device,2011,2013
64,Medtronic,"A bifurcated catheter includes a first catheter branch having a first distal portion and a second catheter branch having a second distal portion. The first and second distal portions are releasably linked together for delivery to a bifurcated region of a body vessel. Upon delivery to the bifurcated region, the first and second distal portions are released from each other such that the first and second catheter branches may be tracked into first and second vessel branches, respectively.</p> <endline> ","Medtronic Vascular, Inc.",None,08343181,Method and apparatus for treating stenoses at bifurcated regions,2007,2013
65,Medtronic,"An apparatus and method is provided for distracting, in a given direction, and supporting opposing vertebral bodies. A plurality of wafers are consecutively inserted between the vertebral bodies to create a column of wafers. The column of wafers is oriented between the vertebral bodies so as to expand in the given direction as the wafers are consecutively added to the column.</p> <endline> ","Spine Wave, Inc.",None,08343193,Method of supporting and distracting opposing vertebral bodies,2012,2013
66,Medtronic,"Tapered root threaded hollow perforated interbody spinal fusion implants are disclosed for placement into a disc space in a human spine between adjacent vertebral bodies. The implants have opposite arcuate portions with lockable screws passing therethrough for engaging each of the adjacent vertebral bodies. The implants are adapted for use in side-by-side pairs such that a portion of the circumference of a first implant nests within the circumference of a second implant, so as to have a reduced combined width.</p> <endline> ","Warsaw Orthopedic, Inc.",None,08343220,Nested interbody spinal fusion implants,2010,2013
67,Medtronic,"A medical device having a battery pack comprising an indicator, wherein the battery pack indicator indicates the status of the battery pack when the battery pack is disassociated from the medical device and indicates the status of the medical device when associated with the medical device.</p> <endline> ","Defibtech, LLC",None,08343644,Medical device with a multiple function battery status indicator,2010,2013
68,Medtronic,"A medical device system includes at least one controllable patient-worn or patient-carried medical device, and a plurality of controller devices that are capable of independently controlling features or functions of the patient medical device. Control commands and other data is wirelessly communicated among the patient medical device and the multiple controller devices. A number of techniques, protocols, and other measures are provided to coordinate wireless communication between the various devices in a medical device system. These control command coordination processes address situations where conflicting, redundant, or concurrent control commands might be independently issued by the multiple controller devices.</p> <endline> ","Medtronic Minimed, Inc.",None,08344847,Coordination of control commands in a medical device system having at least one therapy delivery device and at least one wireless controller device,2009,2013
69,Medtronic,"A volume of a patient can be mapped with a system operable to identify a plurality of locations and save a plurality of locations of a mapping instrument. The mapping instrument can include one or more electrodes that can sense a voltage that can be correlated to a three dimensional location of the electrode at the time of the sensing or measurement. Therefore, a map of a volume can be determined based upon the sensing of the plurality of points without the use of other imaging devices. An implantable medical device can then be navigated relative to the mapping data.</p> <endline> ",Regents of the University of Minnesota,None,08345067,Volumetrically illustrating a structure,2009,2013
70,Medtronic,"This disclosure describes to techniques to compensate for distortions introduced into received signals by one or more receiver components that have undesirable electrical responses, such as nonlinear phase response, sloped (or non-flat) amplitude response or both. An external device or other device with more power resources than an IMD filters signals to be transmitted to the IMD to pre-compensate for distortions introduced by the undesired electrical responses of the one or more receiver components of the IMD. In this manner, at least a portion of the burden of digital processing to compensate for undesired electrical responses of the receiver components is shifted from the IMD to the external device, which is better equipped to perform such heavy computationally complex functions.</p> <endline> ","Medtronic, Inc.",None,08346190,Precompensating for undesired electrical responses of receiver components of an implantable medical device,2009,2013
71,Medtronic,"A medical device for monitoring a patient condition includes a first combination of a light source and a light detector to emit light into a volume of tissue, detect light scattered by the volume of tissue, and provide a first output signal corresponding to an intensity of the detected light. A control module is coupled to the light source to control the light source to emit light at least four spaced-apart light wavelengths, and a monitoring module is coupled to the light detector to receive the output signal, compute a measure of tissue oxygenation in response to the light detector output signal, and detect tissue hypoxia using the measure of tissue oxygenation.</p> <endline> ","Medtronic, Inc.",None,08346332,Absolute calibrated tissue oxygen saturation and total hemoglobin volume fraction,2010,2013
72,Medtronic,"Described embodiments include a system, an apparatus, and a method. A described system includes a sensor device configured to sense a property of a mammal without physically contacting the mammal. The system also includes a signal generator configured to generate a signal indicative of the sensed property of the mammal. The system further includes a treatment decision device configured to determine in response to the signal indicative of the sensed property of the mammal a neuromodulation treatment regimen for administration to a nervous system component of the mammal. The system also includes a computer-readable medium configured to maintain and to provide access to information corresponding to the determined neuromodulation treatment regimen.</p> <endline> ","The Invention Science Fund I, LLC",None,08346354,Determining a neuromodulation treatment regimen in response to contactlessly acquired information,2009,2013
73,Medtronic,A method of reforming a wet-tantalum capacitor includes providing a medical device comprising a wet-tantalum capacitor. The capacitor has a rated voltage and including a hydrated anodic deposit. The method further includes charging the capacitor to a voltage that is less than approximately seventy-five percent of the rated voltage and at least partially discharging the capacitor after the charging step. The charging step is performed at a sufficient voltage to dehydrate the anodic deposit while not significantly decreasing the service life of the capacitor.</p> <endline> ,"Medtronic, Inc.",None,08346355,Capacitor reformation method and apparatus,2011,2013
74,Medtronic,"User interface for external power source, recharger, for an implantable medical device. At least some of patient controls and display icons of an energy transfer unit are common with at least some of the patient controls and the display icons of a patient control unit. An energy transfer unit is operable by the patient with less than three operative controls to control energy transfer from the external energy transfer unit to the implantable medical device. An external antenna having a primary coil can inductively transfer energy to a secondary coil of the implantable medical device when the external antenna is externally placed in proximity of the secondary coil. An energy transfer unit has an external telemetry coil allowing the energy transfer unit to communicate with the implantable medical device through the internal telemetry coil in order to at least partially control the therapeutic output of the implantable medical device.</p> <endline> ","Medtronic, Inc.",None,08346361,User interface for external charger for implantable medical device,2004,2013
75,Medtronic,"A method and apparatus for creating and accessing an anatomic space between a heart and a pericardial sac. The apparatus includes a catheter having a cryoadhesion member situated on the distal tip of the catheter. The cryoadhesion member is utilized to adhere to the pericardial sac and to retract the sac to create a tent like structure. The catheter allows introduction of an instrument to access the pericardial sac by puncture. The access to the pericardial sac allows delivery of a device, a drug, a biologic or other substance to the heart or the space around the heart.</p> <endline> ","Medtronic, Inc.",None,08346373,Method and apparatus for delivering a lead to a heart,2010,2013
76,Medtronic,"BioMEMS/NEMS appliance biologically monitors an individual, using biosensors to detect cellular components. Data is simulated or analyzed using systems-biology software, which provides diagnostic or therapeutic guidance.</p> <endline> ",None,None,08346482,Integrated biosensor and simulation system for diagnosis and therapy,2003,2013
77,Medtronic,None,Medtronic Ardian Luxembourg S.a.r.l.,D13168,D0697036,Remote control,2013,2014
78,Medtronic,A guidewire having flexible or floppy proximal and distal end portions is used for percutaneously accessing a branch vessel through a deployed prosthesis having at least one fenestration near an ostium of the branch vessel. The prosthesis is delivered and deployed via a first percutaneous access site. The guidewire extends over the outside surface of the deployed prosthesis and extends through the at least one fenestration. The flexible distal end portion is snared via a second percutaneous access site and is pulled in a direction towards the second percutaneous access site until the flexible proximal end of the guidewire is located adjacent to the branch vessel. A guide catheter is then advanced over the guidewire until it cannulates the branch vessel. The flexible proximal end of the guidewire may then be advanced into the branch vessel and used for delivery of a branch vessel prosthesis.</p> <endline> ,"Medtronic Vascular, Inc.",None,08622934,Guidewire with two flexible end portions and method of accessing a branch vessel therewith,2011,2014
79,Medtronic,A method of manufacturing a bundled mat construction for an extracorporeal blood circuit heat exchanger includes attaching a leading edge of a first capillary tube mat segment to a first side of a mandrel. A leading edge of a second capillary tube mat segment is attached to a second side of the mandrel. The first side is diametrically opposite the second side. The mandrel is rolled relative to the mat segments to generate a bundled mat construction. Radial layers of the bundled mat construction are symmetrical relative to a central axis of the mandrel.</p> <endline> ,"Medtronic, Inc.",None,08622950,Rolled mat heat exchanger and method of manufacture,2011,2014
80,Medtronic,"A relay device transfers information between a sensor system, which measures a physiological characteristic level of a user, and a fluid delivery system, which infuses a fluid into a user. The relay device includes a sensor system receiver for receiving communications from the sensor system in a sensor system format. The relay device also includes a processor for processing the communications from the sensor system and converting the communications for transmission in a delivery system format. The relay device further includes a delivery system transmitter for transmitting the converted communications in the delivery system format to the fluid delivery system. The sensor system and delivery system formats may utilize different frequencies and/or different communication protocols for communications transmitted between the sensor system and the fluid delivery system through the relay device.</p> <endline> ","Medtronic MiniMed, Inc.",None,08622954,Relay device for transferring information between a sensor system and a fluid delivery system,2010,2014
81,Medtronic,"An ambulatory medical device for detecting acceleration, temperature, and/or humidity conditions in or around the medical device is provided. The medical device includes one or more acceleration, thermal, and/or humidity sensors which detect acceleration, temperature, and/or humidity conditions in or around the medical device. In response to detected conditions, the medical device may, among other things, alter the operation of the device, provide an alarm or warning to the user, or transmit data about the detected conditions to another device.</p> <endline> ","Medtronic MiniMed, Inc.",None,08622955,"Methods and apparatuses for detecting medical device acceleration, temperature, and humidity conditions",2012,2014
82,Medtronic,"Some embodiments of a medical infusion pump system include a pump device having a cap device that mates with a pump housing to retain a medicine cartridge therein. In addition to retaining the medicine cartridge in the pump housing, the cap device may perform a number of preparatory functions or safety functions. In addition or in the alternative, some embodiments of the pump device may include a drive system that advances a piston rod to dispense medicine to the patient in a safe and energy efficient manner.</p> <endline> ","Asante Solutions, Inc.",None,08622966,Operating an infusion pump system,2011,2014
83,Medtronic,"Tools for determining and adjusting the setting of an adjustable valve are disclosed. These tools allow a medical professional to locate and non-invasively determine the setting of an implanted valve. After the valve has been located and the setting of the valve determined, the valve may be re-adjusted non-invasively. There are three tools: a locator tool, an indicator tool and an adjustment tool. The locator tool allows the physician to locate the adjustable valve of interest and align the locator tool with a specific orientation of the valve. The indicator tool indicates the current setting of the adjustable valve and confirms new settings of the valve after the new settings have been implemented. The adjustment tool interacts magnetically with the implanted adjustable valve to couple with a movable internal element to change the setting of the valve. The indicator tool and the adjustment tool physically cooperate with the locator tool to accomplish the respective functions of the tools.</p> <endline> ","Medtronic, Inc.",None,08622978,Tool for adjusting an implantable adjustable fluid flow control valve,2000,2014
84,Medtronic,"Some embodiments of a wearable infusion pump system can include a pump device having a drive system to dispense a medicine to a user, an activity sensor that detects a possible change in an activity level of the user, and a controller to activate the drive system to dispense the medicine to the user. The controller device can query the user to indicate whether a detected activity level of the user represents an actual change in the activity level of the user. The controller device can alter the medicine dispensing schedule based on the user indicated changes in activity level.</p> <endline> ","Asante Solutions, Inc.",None,08622990,Activity sensing techniques for an infusion pump system,2012,2014
85,Medtronic,"Disclosed are methods and systems for automatically estimating the length of an implantable catheter by measuring the pressure decay response to pumping fluid through the catheter. The decay time for a unit fluid pressure pulse generated within the catheter is proportional to the catheter length, i.e. as the catheter length increases so does the decay time. The catheter length can therefore be estimated based on, e.g., the decay time of the pressure pulse. The estimated catheter length can also be analyzed to determine if it is representative of the actual catheter length, or, e.g., is affected by one or more catheter malfunctions including cuts and occlusions. Systems for automatically estimating the catheter length include an implantable catheter, a pumping mechanism, a pressure sensor configured to measure pressure within the catheter, and a processor that calculates the catheter length from a pressure pulse measured while delivering fluid through the catheter.</p> <endline> ","Medtronic, Inc.",None,08622998,Automated catheter length determination for implantable fluid delivery device,2012,2014
86,Medtronic,"An instrument including an elongated shaft and a non-conductive handle is disclosed. The shaft defines a proximal section and a distal section. The distal section forms an electrically conductive tip. Further, the shaft is adapted to be transitionable from a straight state to a first bent state. The shaft is capable of independently maintaining the distinct shapes associated with the straight state and the first bent state. The handle is rigidly coupled to the proximal section of the shaft. The instrument is useful for epicardial pacing and/or mapping of the heart for temporary pacing on a beating heart, for optimizing the placement of ventricular leads for the treatment of patients with congestive heart failure and ventricular dysynchrony and/or for use in surgical ablation procedures.</p> <endline> ","Medtronic, Inc.",None,08623010,Cardiac mapping instrument with shapeable electrode,2009,2014
87,Medtronic,"An ablation catheter assembly includes an elongate catheter body having a proximal portion, a distal portion and a lumen therethrough. A helical structure associated with the catheter distal portion carries a plurality of independently operable electrodes and is transformable between a low-profile configuration wherein a straightening element is positioned in the lumen and an expanded configuration wherein the straightening element is at least partially retracted from the spiral structure. When the helical structure is in the expanded configuration, a laterally offset tip portion extends distally therefrom.</p> <endline> ","Medtronic, Inc.",None,08623013,Ablation catheters and associated systems and methods,2012,2014
88,Medtronic,"A system for targeting landmarks on devices such as surgical implants is disclosed. The system can include a field generator for generating one or more magnetic fields, an orthopaedic implant located within the magnetic fields, the implant having at least one landmark, a removable probe with a first magnetic sensor, a landmark identifier and a processor. The landmark identifier can contain a second sensor, or, alternatively, the field generator. The processor can utilize sensor data and, if desirable, field generator and other information, to generate and display the position and orientation of the sensor(s) in preferably six degrees of freedom, and thereby, to generate and display the position and orientation of the landmark(s). The system allows for blind targeting of one or more landmarks. The landmark identifier, field generator and/or drill motor may be disposed in an autoclavable housing.</p> <endline> ","Smith &#x26; Nephew, Inc.",None,08623023,Targeting an orthopaedic implant landmark,2011,2014
89,Medtronic,"A stent graft delivery system including a tip assembly, a middle member tube, a sheath assembly, a threaded assembly, and a unitary endoseal. The tip tube is disposed in and longitudinally slideable within the proximal portion of the endoseal lumen, the middle member proximal end of the middle member tube is disposed in the distal portion of the endoseal lumen and fixed to the longitudinal cylindrical endoseal body, the first cylindrical portion of the transverse cylindrical endoseal body is disposed in the first sidewall port of the threaded assembly, the second cylindrical portion of the transverse cylindrical endoseal body is disposed in the second sidewall port of the threaded assembly, and the longitudinal endoseal cylindrical body is disposed in the threaded assembly lumen.</p> <endline> ","Medtronic Vascular, Inc.",None,08623064,Stent graft delivery system and method of use,2010,2014
90,Medtronic,"Devices, systems and methods for treating medical conditions using cell therapy via body lumens. Localized delivery is achieved with the use of a stent-like expandable body seeded with cells. The expandable body is expanded to contact at least a portion of the inner walls of the body lumen and the cells, cellular products and/or other therapeutic agents are delivered to the surrounding tissue. The therapeutic benefit provided is dependent on the type of cells used and the features of the expandable body.</p> <endline> ","Medtronic Vascular, Inc.",None,08623066,Cell seeded expandable body,2007,2014
91,Medtronic,"A delivery system and method for positioning and partially deploying a replacement valve at an implantation site, verifying the location of the replacement valve relative to the implantation site, and retrieving the partially deployed stent for repositioning relative to the implantation site.</p> <endline> ","Medtronic, Inc.",None,08623074,Delivery systems and methods of implantation for replacement prosthetic heart valves,2008,2014
92,Medtronic,"A delivery system for use with a prosthetic heart valve having a stent frame to which a valve structure is attached includes a shaft assembly including a distal end, an intermediate portion, and a first coupling structure disposed near the distal end and configured to be coupled to a distal end of the prosthetic heart valve via a first tether. A sheath assembly defines a lumen sized to slidably receive the shaft assembly. The delivery system is configured to transition from a loaded state in which the sheath assembly encompasses the prosthetic heart valve to a deployed state in which the sheath assembly is withdrawn from the prosthetic heart valve. The first coupling structure is configured to be manipulated in a first direction to provide a controlled expansion or contraction of the distal end of the prosthetic heart valve.</p> <endline> ","Medtronic, Inc.",None,08623075,Transcatheter prosthetic heart valve delivery system and method with controlled expansion of prosthetic heart valve,2011,2014
93,Medtronic,"A prosthetic heart valve in combination with a delivery assembly that includes a first elongate component that is movably disposed to a second elongate component. The delivery assembly has a temporary valve location relative to the delivery assembly to which the prosthetic heart valve can be releasably mounted in position and a spaced implantation location relative to the delivery assembly to which the prosthetic heart valve can also be releasably mounted in position. The prosthetic heart valve and delivery assembly combination is configurable with movement of the first elongate component relative to the second elongate component from a delivery state with the prosthetic heart valve mounted in the temporary location to an implantation state with the prosthetic heart valve repositioned from the temporary, location to the implantation location so that the prosthetic heart valve can subsequently be deployed from the implantation location.</p> <endline> ","Medtronic, Inc.",None,08623077,Apparatus for replacing a cardiac valve,2011,2014
94,Medtronic,"A stented valve including a stent structure having a generally tubular body portion, an interior area, a longitudinal axis, an first end, an second end, and an outer surface; at least one outflow barb extending from the outer surface of the stent adjacent to the first end of the stent structure and toward the second end of the stent structure; at least one inflow barb extending from the outer surface of the stent adjacent to the second end of the stent structure and toward the first end of the stent structure; and a valve structure attached within the interior area of the stent structure.</p> <endline> ","Medtronic, Inc.",None,08623079,Stents for prosthetic heart valves,2011,2014
95,Medtronic,A method of using a prosthetic heart valve assembly can include implanting a first prosthesis directly into a native annulus. The first prosthesis can have a central longitudinal axis and a first engagement element. The method can also include engaging the first engagement element of the first prosthesis with a second engagement element of a second prosthesis to securely couple the second prosthesis to the first prosthesis. The second prosthesis can have a prosthetic valve. The first engagement element engages the second engagement element by moving the second prosthesis towards the first prosthesis in a direction generally parallel to the central longitudinal axis until the first engagement element engages the second engagement element.</p> <endline> ,"Medtronic, Inc.",None,08623080,Biologically implantable prosthesis and methods of using the same,2011,2014
96,Medtronic,An angled tissue cutting instrument comprises an angled outer tubular member rotatably receiving a flexible inner tubular member. The inner member has a flexible region in correspondence with an angle of the outer member. The flexible region comprises a helically cut length portion of an elongate tubular body of the inner member and a continuous solid flexible surface secured to an outer surface of the body along the helically cut length portion. A method of fabricating a flexible inner tubular member involves forming a helical cut through the solid wall of a length portion of a tubular body and securing a continuous solid flexible surface to the outer surface of the body along the helically cut length portion to form a flexible region.</p> <endline> ,"Medtronic Xomed, Inc.",None,08623266,Method of fabricating angled tissue cutting instruments,2007,2014
97,Medtronic,"A device includes an energy storage device, a plurality of electrodes, a memory, a switching circuit, and a processing module. The energy storage device stores electrical energy for delivery of defibrillation therapy to a heart. The memory stores N therapy configurations that define which of the plurality of electrodes are used to deliver defibrillation therapy and a waveform to be applied during delivery of defibrillation therapy. The switching circuit connects the plurality of electrodes to the energy storage device. The processing module controls the switching circuit to deliver defibrillation therapy according to a first therapy configuration of the N therapy configurations, detects a short circuit fault during delivery of the defibrillation therapy according to the first therapy configuration, and selects a second therapy configuration of the N therapy configurations based on when the short circuit fault was detected during delivery of the defibrillation therapy according to the first therapy configuration.</p> <endline> ","Medtronic, Inc.",None,08626287,Short circuit fault-tolerance in an implantable medical device,2011,2014
98,Medtronic,An implantable device and associated method detect anodal capture during electrical stimulation. A first pacing pulse is delivered using a first cathode and a first anode. A second pacing pulse is delivered using the first cathode and a second anode. A first response to the first pacing pulse and a second response to the second pacing pulse are measured. Anodal capture of the first pacing pulse at the first anode is detected in response to a first difference between the first response and the second response.</p> <endline> ,"Medtronic, Inc.",None,08626291,Method for discriminating anodal and cathodal capture,2011,2014
99,Medtronic,"According to some methods, for example, preprogrammed in a microprocessor element of an implantable cardiac pacing system, at least one of a number of periodic pacing threshold searches includes steps to reduce an evoked response amplitude threshold for evoked response signal detection. The reduction may be to a minimum value measurable above zero, for example, as determined by establishing a &#x2018;noise floor&#x2019;. Alternately, amplitudes of test pacing pulses and corresponding post pulse signals are collected and reviewed to search for a break, to determine a lower value to which the evoked response threshold may be adjusted without detecting noise. Subsequent to reducing the threshold, if no evoked response signal is detected for a test pulse applied at or above a predetermined maximum desirable pulse energy, an operational pacing pulse energy is set to greater than or equal to the maximum desirable in conjunction with a reduction in pacing rate.</p> <endline> ","Medtronic, Inc.",None,08626294,Methods for setting cardiac pacing parameters in relatively high efficiency pacing systems,2011,2014
100,Medtronic,"Methods and apparatus are provided for thermally-induced renal neuromodulation. Thermally-induced renal neuromodulation may be achieved via direct and/or via indirect application of thermal energy to heat or cool neural fibers that contribute to renal function, or of vascular structures that feed or perfuse the neural fibers. In some embodiments, parameters of the neural fibers, of non-target tissue, or of the thermal energy delivery element, may be monitored via one or more sensors for controlling the thermally-induced neuromodulation. In some embodiments, protective elements may be provided to reduce a degree of thermal damage induced in the non-target tissues. In some embodiments, thermally-induced renal neuromodulation is achieved via delivery of a pulsed thermal therapy.</p> <endline> ",Medtronic Ardian Luxembourg S.a.r.l.,None,08626300,Methods and apparatus for thermally-induced renal neuromodulation,2011,2014
101,Medtronic,"An implantable medical device (&#x201c;IMD&#x201d;) is provided having an antenna and an RF telemetry module for far field telemetry communications arranged on an exterior of the IMD housing, such that telemetry signal processing may be performed on the exterior of the housing. One or more feedthrough conductive paths extend through the housing to communicatively couple the RF module to circuitry within the housing. In this manner RF module is arranged entirely external to the housing, such that only power and/or low frequency data bit signals are required to be passed through the feedthrough conductive path. This allows the feedthrough conductive path to be filtered to prevent undesired interference signals (e.g., electromagnetic interference (EMI) signals) from entering the housing through the feedthrough conductive path coupled to the RF module. In some embodiments, the antenna and RF module are formed in an integrated assembly attachable to an exterior portion of the housing.</p> <endline> ","Medtronic, Inc.",None,08626310,External RF telemetry module for implantable medical devices,2008,2014
102,Medtronic,"An implantable medical electrical lead comprises a lead body extending between a distal end and a proximal end, and the distal end having at least one electrode of an electrode array extending longitudinally from the distal end toward the proximal end. The lead body at its proximal end may be coupled to a pulse generator, additional intermediate wiring, or other stimulation device. A fixation mechanism is formed on or integrally with the lead body proximal to the electrode array that is adapted to be implanted in and engage subcutaneous tissue, particularly muscle tissue, to inhibit axial movement of the lead body and dislodgement of the stimulation electrodes. The fixation mechanism comprises a plurality of tine elements arrayed in a tine element array along a segment of the lead.</p> <endline> ","Medtronic, Inc.",None,08626314,Implantable medical lead including a plurality of tine elements,2011,2014
